,Temporada alta,Diferencia en minutos,Atraso menor,Periodo día
0,False,3.0,True,Noche
1,False,9.0,True,Noche
2,False,9.0,True,Noche
3,False,3.0,True,Noche
4,False,-2.0,False,Noche
5,False,34.0,False,Noche
6,False,-5.0,False,Noche
7,False,-5.0,False,Noche
8,False,40.0,False,Noche
9,False,69.0,False,Noche
10,False,-9.0,False,Noche
11,False,14.0,True,Noche
12,False,-7.0,False,Noche
13,False,-4.0,False,Noche
14,False,-11.0,False,Noche
15,False,-9.0,False,Noche
16,False,-9.0,False,Noche
17,False,-12.0,False,Noche
18,False,15.0,False,Noche
19,False,-2.0,False,Noche
20,False,2.0,True,Noche
21,False,8.0,True,Noche
22,False,-5.0,False,Noche
23,False,52.0,False,Noche
24,False,-5.0,False,Noche
25,False,0.0,False,Noche
26,False,26.0,False,Noche
27,False,-3.0,False,Noche
28,False,-5.0,False,Noche
29,False,2.0,True,Noche
30,False,2.0,True,Noche
31,False,-7.0,False,Noche
32,False,-1.0,False,Noche
33,False,5.0,True,Noche
34,False,-4.0,False,Noche
35,False,1.0,True,Noche
36,False,-5.0,False,Noche
37,False,3.0,True,Noche
38,False,-2.0,False,Noche
39,False,-4.0,False,Noche
40,False,-6.0,False,Noche
41,False,4.0,True,Noche
42,False,-4.0,False,Noche
43,False,-4.0,False,Noche
44,False,-9.0,False,Noche
45,False,-10.0,False,Noche
46,False,0.0,False,Noche
47,False,-2.0,False,Noche
48,False,1.0,True,Noche
49,False,-4.0,False,Noche
50,False,10.0,True,Noche
51,False,20.0,False,Noche
52,False,11.0,True,Noche
53,False,24.0,False,Noche
54,False,-5.0,False,Noche
55,False,-7.0,False,Noche
56,False,14.0,True,Noche
57,False,5.0,True,Noche
58,False,0.0,False,Noche
59,False,25.0,False,Noche
60,False,1.0,True,Noche
61,False,0.0,False,Noche
62,False,-4.0,False,Noche
63,False,13.0,True,Noche
64,False,-3.0,False,Noche
65,False,2.0,True,Noche
66,False,-5.0,False,Noche
67,False,0.0,False,Noche
68,False,-2.0,False,Noche
69,False,3.0,True,Noche
70,False,-9.0,False,Noche
71,False,5.0,True,Noche
72,False,-3.0,False,Noche
73,False,-4.0,False,Noche
74,False,-10.0,False,Noche
75,False,-9.0,False,Noche
76,False,62.0,False,Noche
77,False,2.0,True,Noche
78,False,-8.0,False,Noche
79,False,19.0,False,Tarde
80,False,60.0,False,Tarde
81,False,17.0,False,Tarde
82,False,26.0,False,Tarde
83,False,14.0,True,Tarde
84,False,67.0,False,Tarde
85,False,84.0,False,Tarde
86,False,63.0,False,Tarde
87,False,97.0,False,Tarde
88,False,17.0,False,Tarde
89,False,90.0,False,Tarde
90,False,130.0,False,Tarde
91,False,24.0,False,Tarde
92,False,77.0,False,Tarde
93,False,32.0,False,Tarde
94,False,39.0,False,Tarde
95,False,48.0,False,Tarde
96,False,6.0,True,Tarde
97,False,2.0,True,Tarde
98,False,28.0,False,Tarde
99,False,11.0,True,Tarde
100,False,33.0,False,Tarde
101,False,69.0,False,Tarde
102,False,20.0,False,Tarde
103,False,3.0,True,Tarde
104,False,22.0,False,Tarde
105,False,21.0,False,Tarde
106,False,22.0,False,Tarde
107,False,27.0,False,Tarde
108,False,6.0,True,Tarde
109,False,20.0,False,Noche
110,False,17.0,False,Noche
111,False,19.0,False,Noche
112,False,47.0,False,Noche
113,False,5.0,True,Noche
114,False,63.0,False,Noche
115,False,55.0,False,Noche
116,False,53.0,False,Noche
117,False,105.0,False,Noche
118,False,20.0,False,Noche
119,False,72.0,False,Noche
120,False,26.0,False,Noche
121,False,99.0,False,Noche
122,False,52.0,False,Noche
123,False,33.0,False,Noche
124,False,147.0,False,Noche
125,False,18.0,False,Noche
126,False,25.0,False,Noche
127,False,5.0,True,Noche
128,False,21.0,False,Noche
129,False,13.0,True,Noche
130,False,21.0,False,Noche
131,False,11.0,True,Noche
132,False,-4.0,False,Noche
133,False,-1.0,False,Noche
134,False,8.0,True,Noche
135,False,6.0,True,Noche
136,False,-4.0,False,Noche
137,False,6.0,True,Noche
138,False,-4.0,False,Tarde
139,False,0.0,False,Tarde
140,False,3.0,True,Tarde
141,False,-1.0,False,Tarde
142,False,-10.0,False,Tarde
143,False,16.0,False,Tarde
144,False,-1.0,False,Tarde
145,False,1.0,True,Tarde
146,False,14.0,True,Tarde
147,False,8.0,True,Tarde
148,False,7.0,True,Tarde
149,False,7.0,True,Tarde
150,False,5.0,True,Tarde
151,False,17.0,False,Tarde
152,False,1.0,True,Tarde
153,False,12.0,True,Tarde
154,False,-3.0,False,Tarde
155,False,33.0,False,Tarde
156,False,6.0,True,Tarde
157,False,-4.0,False,Tarde
158,False,8.0,True,Tarde
159,False,7.0,True,Tarde
160,False,-1.0,False,Tarde
161,False,3.0,True,Tarde
162,False,-7.0,False,Tarde
163,False,12.0,True,Tarde
164,False,-2.0,False,Tarde
165,False,7.0,True,Tarde
166,False,14.0,True,Tarde
167,False,14.0,True,Tarde
168,False,-5.0,False,Tarde
169,False,-11.0,False,Noche
170,False,13.0,True,Noche
171,False,-2.0,False,Noche
172,False,-12.0,False,Noche
173,False,7.0,True,Noche
174,False,-1.0,False,Noche
175,False,14.0,True,Noche
176,False,-7.0,False,Noche
177,False,-6.0,False,Noche
178,False,0.0,False,Noche
179,False,-3.0,False,Noche
180,False,-9.0,False,Noche
181,False,-4.0,False,Noche
182,False,-2.0,False,Noche
183,False,-7.0,False,Noche
184,False,-3.0,False,Noche
185,False,1.0,True,Noche
186,False,4.0,True,Noche
187,False,-9.0,False,Noche
188,False,138.0,False,Noche
189,False,-1.0,False,Noche
190,False,-13.0,False,Noche
191,False,-11.0,False,Noche
192,False,-11.0,False,Noche
193,False,-9.0,False,Noche
194,False,-7.0,False,Noche
195,False,-5.0,False,Noche
196,False,-1.0,False,Noche
197,False,-2.0,False,Noche
198,False,13.0,True,Noche
199,False,-9.0,False,Noche
200,False,-1.0,False,Noche
201,False,-10.0,False,Mañana
202,False,2.0,True,Mañana
203,False,-2.0,False,Mañana
204,False,31.0,False,Mañana
205,False,18.0,False,Mañana
206,False,-13.0,False,Mañana
207,False,-6.0,False,Mañana
208,False,0.0,False,Mañana
209,False,20.0,False,Mañana
210,False,8.0,True,Mañana
211,False,11.0,True,Mañana
212,False,-8.0,False,Mañana
213,False,88.0,False,Mañana
214,False,17.0,False,Mañana
215,False,27.0,False,Mañana
216,False,2.0,True,Mañana
217,False,1.0,True,Mañana
218,False,33.0,False,Mañana
219,False,11.0,True,Mañana
220,False,2.0,True,Mañana
221,False,10.0,True,Mañana
222,False,-5.0,False,Mañana
223,False,-1.0,False,Mañana
224,False,-12.0,False,Mañana
225,False,-5.0,False,Mañana
226,False,-3.0,False,Mañana
227,False,-10.0,False,Mañana
228,False,3.0,True,Mañana
229,False,1.0,True,Mañana
230,False,1.0,True,Mañana
231,False,35.0,False,Mañana
232,False,-11.0,False,Mañana
233,False,-11.0,False,Mañana
234,False,-10.0,False,Mañana
235,False,6.0,True,Mañana
236,False,14.0,True,Mañana
237,False,-7.0,False,Mañana
238,False,-11.0,False,Mañana
239,False,0.0,False,Mañana
240,False,5.0,True,Mañana
241,False,18.0,False,Mañana
242,False,-8.0,False,Mañana
243,False,-1.0,False,Mañana
244,False,-11.0,False,Mañana
245,False,17.0,False,Mañana
246,False,15.0,False,Mañana
247,False,1.0,True,Mañana
248,False,-4.0,False,Mañana
249,False,30.0,False,Mañana
250,False,-13.0,False,Mañana
251,False,-4.0,False,Mañana
252,False,-5.0,False,Mañana
253,False,-6.0,False,Mañana
254,False,-7.0,False,Tarde
255,False,5.0,True,Tarde
256,False,25.0,False,Tarde
257,False,4.0,True,Tarde
258,False,-10.0,False,Tarde
259,False,11.0,True,Tarde
260,False,-14.0,False,Tarde
261,False,-2.0,False,Tarde
262,False,-3.0,False,Tarde
263,False,7.0,True,Tarde
264,False,9.0,True,Tarde
265,False,42.0,False,Tarde
266,False,9.0,True,Tarde
267,False,4.0,True,Tarde
268,False,-9.0,False,Tarde
269,False,-8.0,False,Tarde
270,False,-7.0,False,Tarde
271,False,6.0,True,Tarde
272,False,-5.0,False,Tarde
273,False,0.0,False,Tarde
274,False,-9.0,False,Tarde
275,False,-6.0,False,Tarde
276,False,1.0,True,Tarde
